,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
ovary,-4.207776410654131,-26.177250712959193,11.796649461632965,-11.384104261303344,2.5133351206153187,18.6483222936788,9.66461152790152,12.04692772864945,-0.4851651866191985,-1.150995293899377,-2.3757505529961005,4.576540468685219,12.870694492978837,3.61028500873569,-0.5471727498643698,-10.330029857017278,3.468976882793013,-4.112680244308818,-1.4437265957786443,0.967960491827777,0.13845250663869033,-1.1271031008930732,0.6215758539595835,0.03162785540668716,0.08662298856959182,0.1392680697554351,-0.0881211716916434,0.015805454788211,-0.4842198372217275,-0.7897203824372806,0.20367285278320746,-0.3473840196286505
liver,-57.60003955460145,35.63785193170844,3.0423602932104283,-6.875769974958305,-7.924994836792839,-0.22736394403348847,0.42477401706218676,-0.5702286706144031,-1.565467641768829,0.18184341369562157,-0.5785258162132438,0.13906323952289373,0.2862299208176756,0.013675601414664949,0.43404744087535757,-0.7144858002251987,-0.38688033771058633,0.26185518614586123,0.7646904495160992,-0.1707521225906558,0.05209494750904415,-0.01943579670733637,0.3514264607349434,0.07852088212392333,-0.12541712727316576,0.10385674019552732,-0.025706697644378645,0.09821077574893494,0.00036138278198349916,0.061998904570222335,-0.050635283420573586,0.041949254914547984
cerebellum,41.203607610071316,13.779148064005765,-2.3376390061513392,-2.8110807015848884,0.04135475401443758,3.059690470310273,-12.278447177421812,1.1080115109795368,-3.0848519906889247,5.803300239770481,1.7243527280349182,4.928702168264851,0.28702413624035816,-1.283289439777534,-0.017839724852061555,0.6192451865429275,0.5923546531587882,0.3067083652761143,0.32205313705248806,0.39282212100878044,-0.1740720725093258,-0.23714629067724496,-0.6640022290852259,-0.20797298310387055,0.08496418569874006,0.6540270941174612,0.12174331747268137,0.007278184910994443,-0.8583499136146117,0.08551599779371885,-0.17036659729999065,-0.01200583805081026
testis,-7.821399652386938,-25.642993060600222,28.746747032775886,-0.825079386267443,-3.0684432355576345,7.37393847823269,4.41968958894768,5.521480989429519,0.05810542924559631,4.321851955141614,1.4325057689463738,-3.434069262507755,-7.076023025661855,-0.8735964435701005,-0.3979285415299266,4.735970032037293,-3.430908166280799,-0.9493916210749896,-0.5608361587138331,-0.8011996174887758,-0.016898747368163197,-0.6877697248894341,-0.4005658298658586,0.04408481243075863,-0.5092448580789396,0.7279225895090068,0.36087779119518126,0.36225102955114785,0.25320136715318214,0.38896590392099495,-0.12698673172909247,-0.6000582092782165
brain,39.391001567505256,12.936252717636977,-2.6778809821127925,-3.027794318873423,-2.739877242364149,-7.05366522310015,10.628025168914478,-0.6358188449355213,4.827770179930929,-7.805602477696327,1.0633207463214125,-4.90290869264542,0.26658372958984333,2.6722669743348444,0.4198297855528573,0.9233006609855955,-0.21302766704817586,0.04762235169460171,-0.794768588311857,-0.04970397930128892,-0.4910092833770622,0.3833880209290657,0.8325571196003921,0.19522847955722872,0.1906284164073244,-0.3468108607240671,-0.4116142112254238,0.09207566015450444,0.6029991695729626,-0.15297105652226545,0.12689640302429295,-0.026509286284133675
heart,-15.642407025850645,-24.07032102186272,-28.664967168263562,29.28732510408338,-13.606738796328745,-4.756618164198709,-1.6139346534443826,-2.470516644730071,-1.1845028006375737,-0.14892364015427487,-2.113911519401775,1.4557778279964104,0.07589733763568152,0.05524959589067213,0.6739863639491994,-0.2289826481182076,0.021274286180811286,-0.05375626443639345,0.010855037240544247,-0.07405505283807355,0.07393974510982623,0.1264228531038216,-0.07700518084768206,-0.6219719112328703,0.23978148777730518,-0.5609579043314781,-0.20307892791400775,-0.1415048004478483,-0.014717353525807848,-0.05652536485157212,0.1568546862465541,0.07404647856209336
kidney,-16.280275425393082,-19.464037756727063,1.5619675238163497,-10.864495095739073,33.451817393595796,-5.734421108572138,-4.090752811602322,-9.058466370290084,1.6206248671364325,-2.0301800181503955,-1.336466693553104,-1.259108761559709,-0.1069080394179242,-2.8115366021990678,-1.2992132386753734,-1.0702335818509399,1.8421888616912092,2.229883869658582,0.926552457790735,0.14720556792885509,0.7911271399892121,0.9982095371915083,-0.4169823521415543,0.6373876497651538,-0.03152331653070709,-0.8570898490522817,0.3461524730044535,-0.5083486067694831,0.4804527375587747,0.045611235670138826,0.0006013100891245071,0.7345265207674243
